ema_span,ma_period,ma_type,combo_label,total_return_pct,monthly_profit,max_drawdown,sharpe_proxy,liquidations,total_cycles,win_rate
10,10,SMA,EMA10+SMA10,279.83,40.409,2.17,2.4915,0,733,99.73
10,10,EMA,EMA10+EMA10,298.92,43.0617,2.06,2.3996,0,769,99.74
10,14,SMA,EMA10+SMA14,286.38,41.3543,2.13,2.4352,0,750,99.73
10,14,EMA,EMA10+EMA14,290.66,41.8711,2.11,2.4409,0,752,99.73
10,20,SMA,EMA10+SMA20,279.96,40.476,2.16,2.3755,0,723,99.72
10,20,EMA,EMA10+EMA20,279.29,40.234,2.17,2.4026,0,723,99.72
10,21,SMA,EMA10+SMA21,276.21,39.9336,2.18,2.3988,0,715,99.72
10,21,EMA,EMA10+EMA21,275.97,39.7549,2.19,2.4202,0,719,99.72
10,26,SMA,EMA10+SMA26,273.66,39.6132,2.22,2.5109,0,705,99.86
10,26,EMA,EMA10+EMA26,272.73,39.289,2.23,2.4933,0,706,99.86
10,34,SMA,EMA10+SMA34,257.4,37.3489,2.31,2.3931,0,655,99.85
10,34,EMA,EMA10+EMA34,268.93,38.7419,0.0,2.7358,0,674,100.0
10,50,SMA,EMA10+SMA50,246.96,35.9216,0.0,2.5747,0,618,100.0
10,50,EMA,EMA10+EMA50,253.01,36.4479,0.0,2.5416,0,636,100.0
10,55,SMA,EMA10+SMA55,241.78,35.2104,0.0,2.4574,0,607,100.0
10,55,EMA,EMA10+EMA55,249.5,35.9425,0.0,2.5012,0,629,100.0
10,89,SMA,EMA10+SMA89,225.01,33.009,0.0,2.2412,0,570,100.0
10,89,EMA,EMA10+EMA89,228.91,32.9757,0.0,2.2577,0,579,100.0
14,10,SMA,EMA14+SMA10,291.47,42.0899,2.1,2.5418,0,744,99.6
14,10,EMA,EMA14+EMA10,290.66,41.8711,2.11,2.4409,0,752,99.73
14,14,SMA,EMA14+SMA14,317.44,45.8401,1.97,2.5774,0,813,99.63
14,14,EMA,EMA14+EMA14,333.23,48.0049,1.91,2.6182,0,859,99.65
14,20,SMA,EMA14+SMA20,321.08,46.4219,1.97,2.5686,0,822,99.64
14,20,EMA,EMA14+EMA20,319.97,46.0939,1.98,2.5849,0,832,99.64
14,21,SMA,EMA14+SMA21,318.11,45.9913,1.98,2.578,0,816,99.63
14,21,EMA,EMA14+EMA21,317.48,45.7361,1.99,2.6238,0,828,99.76
14,26,SMA,EMA14+SMA26,316.33,45.7895,2.01,2.7234,0,811,99.75
14,26,EMA,EMA14+EMA26,314.41,45.2927,2.02,2.7326,0,814,99.88
14,34,SMA,EMA14+SMA34,299.61,43.4736,2.08,2.619,0,764,99.87
14,34,EMA,EMA14+EMA34,310.72,44.7615,0.0,3.0232,0,782,100.0
14,50,SMA,EMA14+SMA50,289.0,42.0365,0.0,2.8749,0,725,100.0
14,50,EMA,EMA14+EMA50,292.93,42.1985,0.0,2.8685,0,739,100.0
14,55,SMA,EMA14+SMA55,284.24,41.3944,0.0,2.7453,0,713,100.0
14,55,EMA,EMA14+EMA55,289.37,41.6855,0.0,2.8506,0,728,100.0
14,89,SMA,EMA14+SMA89,262.46,38.5024,0.0,2.4923,0,659,100.0
14,89,EMA,EMA14+EMA89,265.66,38.2699,0.0,2.53,0,666,100.0
20,10,SMA,EMA20+SMA10,281.24,40.6128,2.16,2.5026,0,728,99.59
20,10,EMA,EMA20+EMA10,279.29,40.234,2.17,2.4026,0,723,99.72
20,14,SMA,EMA20+SMA14,320.16,46.2323,1.97,2.738,0,835,99.64
20,14,EMA,EMA20+EMA14,319.97,46.0939,1.98,2.5849,0,832,99.64
20,20,SMA,EMA20+SMA20,342.73,49.551,1.88,2.7001,0,910,99.56
20,20,EMA,EMA20+EMA20,349.1,50.2909,1.85,2.6495,0,963,99.58
20,21,SMA,EMA20+SMA21,343.93,49.7246,1.88,2.697,0,910,99.56
20,21,EMA,EMA20+EMA21,346.32,49.8899,1.87,2.683,0,959,99.69
20,26,SMA,EMA20+SMA26,339.85,49.1942,1.91,2.7946,0,930,99.68
20,26,EMA,EMA20+EMA26,343.35,49.4628,1.89,2.8104,0,945,99.79
20,34,SMA,EMA20+SMA34,328.11,47.61,1.95,2.6982,0,890,99.78
20,34,EMA,EMA20+EMA34,338.22,48.7229,1.88,2.9572,0,910,99.89
20,50,SMA,EMA20+SMA50,316.61,46.052,2.0,2.831,0,850,99.88
20,50,EMA,EMA20+EMA50,318.46,45.8763,1.95,2.784,0,855,99.88
20,55,SMA,EMA20+SMA55,311.27,45.3303,2.02,2.7313,0,835,99.88
20,55,EMA,EMA20+EMA55,315.5,45.4497,1.97,2.7845,0,844,99.88
20,89,SMA,EMA20+SMA89,287.3,42.1469,2.1,2.4401,0,763,99.87
