trade_num,direction,favored,entry_time,exit_time,exit_reason,levels_filled,l1_price,blended_entry,exit_price,pnl,fees,equity_before,equity_after,hold_minutes
1,long,N,2018-11-14 16:00:00,2018-11-14 16:01:00,TP,1,6225.83,6225.83,6256.93,1.3203,0.1782,999.74,1001.06,1
2,short,Y,2018-12-20 12:00:00,2018-12-20 13:05:00,TP,3,3974.86,4029.28,4009.16,17.6057,2.3856,998.53,1016.14,65
3,long,N,2019-02-06 12:00:00,2019-02-06 15:34:00,TP,1,3398.98,3398.98,3415.94,1.3387,0.1828,1015.87,1017.21,214
4,long,N,2019-02-24 20:00:00,2019-02-24 21:06:00,TP,1,3781.76,3781.76,3800.64,1.3416,0.1818,1016.94,1018.28,66
5,long,N,2019-02-25 04:00:00,2019-02-25 06:16:00,TP,1,3795.97,3795.97,3814.92,1.3424,0.1826,1018.01,1019.35,136
6,long,N,2019-02-25 08:00:00,2019-02-25 09:09:00,TP,1,3782.53,3782.53,3801.41,1.3444,0.1822,1019.08,1020.43,69
7,long,N,2019-02-25 12:00:00,2019-02-25 12:18:00,TP,1,3791.53,3791.53,3810.46,1.3462,0.1820,1020.16,1021.50,18
8,long,N,2019-02-25 16:00:00,2019-02-25 16:27:00,TP,1,3802.59,3802.59,3821.57,1.3476,0.1823,1021.23,1022.58,27
9,long,N,2019-02-26 00:00:00,2019-02-26 10:39:00,TP,2,3828.72,3808.23,3827.24,4.0318,0.5626,1021.95,1025.98,639
10,long,N,2019-03-25 20:00:00,2019-03-25 23:14:00,TP,1,3922.04,3922.04,3941.62,1.3522,0.1844,1025.71,1027.06,194
11,short,Y,2019-04-02 08:00:00,2019-04-02 14:09:00,TP,3,4646.39,4709.99,4686.47,18.0337,2.4814,1024.47,1042.51,369
12,short,Y,2019-04-02 16:00:00,2019-04-02 16:04:00,TP,1,4734.97,4734.97,4711.33,2.2933,0.3097,1042.05,1044.34,4
13,short,Y,2019-04-02 20:00:00,2019-04-03 04:50:00,TP,3,4723.99,4788.66,4764.74,18.3193,2.5413,1041.71,1060.03,530
14,short,Y,2019-04-03 08:00:00,2019-04-03 08:06:00,TP,1,4930.73,4930.73,4906.11,2.3319,0.3149,1059.56,1061.89,6
15,short,Y,2019-04-03 12:00:00,2019-04-03 22:43:00,TP,3,4924.13,4991.53,4966.61,18.6153,2.5970,1059.21,1077.83,643
16,long,N,2019-04-11 12:00:00,2019-04-11 12:37:00,TP,2,5013.48,4986.65,5011.55,4.2672,0.5772,1077.16,1081.43,37
17,long,N,2019-04-11 16:00:00,2019-04-11 16:48:00,TP,1,4996.38,4996.38,5021.33,1.4271,0.1931,1081.14,1082.57,48
18,long,N,2019-04-12 04:00:00,2019-04-12 10:38:00,TP,1,4987.07,4987.07,5011.98,1.4255,0.1964,1082.28,1083.71,398
19,long,N,2019-04-26 00:00:00,2019-04-26 00:31:00,TP,2,5214.17,5186.27,5212.17,4.2909,0.5802,1083.03,1087.33,31
20,long,N,2019-04-26 16:00:00,2019-04-26 16:01:00,TP,2,5271.70,5243.49,5269.68,4.3061,0.5813,1086.65,1090.96,1
21,long,Y,2019-05-23 00:00:00,2019-05-23 00:07:00,TP,1,7600.03,7600.03,7638.00,2.4011,0.3241,1090.48,1092.88,7
22,long,Y,2019-05-23 04:00:00,2019-05-23 10:00:00,TP,3,7662.10,7556.20,7593.95,19.2009,2.6393,1090.12,1109.32,360
23,long,Y,2019-05-23 12:00:00,2019-05-23 12:53:00,TP,1,7585.87,7585.87,7623.77,2.4408,0.3303,1108.83,1111.28,53
24,long,Y,2019-05-31 00:00:00,2019-05-31 00:02:00,TP,1,8263.84,8263.84,8305.13,2.4461,0.3301,1110.78,1113.23,2
25,long,Y,2019-05-31 04:00:00,2019-05-31 06:10:00,TP,2,8269.04,8241.41,8282.59,7.3454,0.9978,1112.08,1119.42,130
26,long,Y,2019-05-31 08:00:00,2019-05-31 10:15:00,TP,1,8313.00,8313.00,8354.53,2.4620,0.3345,1118.93,1121.39,135
27,long,Y,2019-05-31 12:00:00,2019-05-31 12:36:00,TP,1,8288.39,8288.39,8329.80,2.4679,0.3336,1120.90,1123.37,36
28,long,Y,2019-05-31 16:00:00,2019-05-31 16:25:00,TP,2,8360.03,8332.10,8373.73,7.4171,1.0021,1122.20,1129.62,25
29,long,Y,2019-06-03 08:00:00,2019-06-03 08:13:00,TP,1,8473.00,8473.00,8515.33,2.4864,0.3357,1129.12,1131.61,13
30,long,Y,2019-06-03 12:00:00,2019-06-03 12:15:00,TP,1,8492.69,8492.69,8535.12,2.4907,0.3363,1131.11,1133.60,15
31,long,Y,2019-06-03 16:00:00,2019-06-03 16:11:00,TP,1,8455.11,8455.11,8497.36,2.4951,0.3368,1133.10,1135.60,11
32,long,Y,2019-08-10 12:00:00,2019-08-10 12:31:00,TP,2,11372.32,11334.33,11390.97,7.4992,1.0132,1134.42,1141.92,31
33,long,Y,2019-08-10 16:00:00,2019-08-10 17:28:00,TP,2,11411.29,11373.17,11430.00,7.5383,1.0215,1140.74,1148.28,88
34,long,Y,2019-08-10 20:00:00,2019-08-10 20:09:00,TP,1,11323.68,11323.68,11380.27,2.5280,0.3412,1147.77,1150.30,9
