trade_num,direction,favored,entry_time,exit_time,exit_reason,levels_filled,l1_price,blended_entry,exit_price,pnl,fees,equity_before,equity_after,hold_minutes
1,long,Y,2022-01-01 00:00:00,2022-01-01 00:06:00,TP,1,46250.03,46250.03,46481.25,1.3216,0.1782,999.74,1001.06,6
2,long,Y,2022-01-01 12:00:00,2022-01-01 12:31:00,TP,1,46825.04,46825.04,47059.14,1.3228,0.1786,1000.79,1002.11,31
3,long,Y,2022-01-03 04:00:00,2022-01-03 05:27:00,TP,1,46776.17,46776.17,47010.02,1.3237,0.1793,1001.85,1003.17,87
4,long,Y,2022-01-03 16:00:00,2022-01-03 17:28:00,TP,2,46635.14,46479.41,46711.78,3.9752,0.5384,1002.55,1006.53,88
5,long,Y,2022-01-03 20:00:00,2022-01-03 22:39:00,TP,2,46357.45,46202.65,46433.63,3.9868,0.5420,1005.90,1009.89,159
6,long,Y,2022-01-04 00:00:00,2022-01-04 07:53:00,TP,2,46510.73,46355.42,46587.16,3.9924,0.5515,1009.26,1013.25,473
7,long,Y,2022-01-04 08:00:00,2022-01-04 10:43:00,TP,2,46532.94,46377.55,46609.41,4.0133,0.5457,1012.62,1016.64,163
8,long,Y,2022-01-04 20:00:00,2022-01-04 20:28:00,TP,1,46143.90,46143.90,46374.59,1.3434,0.1814,1016.37,1017.71,28
9,long,Y,2022-01-05 00:00:00,2022-01-05 00:31:00,TP,1,45900.09,45900.09,46129.56,1.3448,0.1816,1017.44,1018.79,31
10,long,Y,2022-01-05 20:00:00,2022-01-05 20:13:00,TP,3,44706.03,44088.27,44308.68,10.7705,1.4532,1017.25,1028.02,13
11,long,Y,2022-01-06 00:00:00,2022-01-06 00:32:00,TP,1,43418.70,43418.70,43635.76,1.3584,0.1835,1027.74,1029.10,32
12,long,Y,2022-01-06 04:00:00,2022-01-06 04:16:00,TP,1,42921.45,42921.45,43136.03,1.3599,0.1835,1028.83,1030.19,16
13,long,Y,2022-01-06 08:00:00,2022-01-06 18:47:00,TP,2,43270.03,43125.54,43341.13,4.0682,0.5670,1029.55,1033.62,647
14,long,Y,2022-01-06 20:00:00,2022-01-11 17:12:00,TP,3,43458.25,42857.73,43071.99,10.4557,1.9460,1032.06,1042.51,7032
15,long,N,2022-01-14 12:00:00,2022-01-14 12:48:00,TP,1,41978.22,41978.22,42188.08,0.8264,0.1117,1042.35,1043.17,48
16,long,N,2022-01-18 04:00:00,2022-01-18 06:11:00,TP,1,42009.16,42009.16,42219.18,0.8265,0.1122,1043.01,1043.83,131
17,long,N,2022-01-18 08:00:00,2022-01-18 10:11:00,TP,2,42019.72,41795.00,42003.94,2.4811,0.3368,1043.44,1045.93,131
18,long,N,2022-01-18 12:00:00,2022-01-18 21:11:00,TP,2,41912.58,41688.43,41896.84,2.4797,0.3439,1045.54,1048.02,551
19,long,N,2022-01-19 08:00:00,2022-01-19 09:06:00,TP,1,41281.14,41281.14,41487.52,0.8307,0.1124,1047.85,1048.68,66
